Exercise Name,AKA,Week,Methods Used,Completion Status,Problem Model,Solution short,Solution,BestTime (minutes),Tips to remember,Speciality To Recognize It,Problem History,Exercise Link
The Sultan Trail,MAX # of overlapping intervals,Week 01,Sweep Line,Completed,"We have a vector of intervals [start,end] and want to find the max number of overlapping intervals (in a point).","We add +1 at each start and remove -1 at each end, we take the maximum.

Pay attention to counting the starting before closing.","#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

void solve(){
int n; cin >> n;
vector<pair<int,int>> sl;
for(int i = 0; i < n; ++i){
int start, end; cin >> start>>end;
sl.push_back({start, 1});
sl.push_back({end, -1});
}
sort(sl.begin(), sl.end(), [](const pair<int,int>& a, const pair<int,int>& b) {
if (a.first == b.first) return a.second > b.second; // +1 before -1
return a.first < b.first;
});
int maks = 0;
int count = 0;
for(auto &e: sl){
count += e.second;
maks = max(maks, count);
}
cout << maks;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Default,https://expert.ethz.ch/solve/cZJ5MF75rZ5N6RngJ
Even Matrix,Counting even-sum submatrices via prefix-parity aggregation,Week 01,"Combinatorics, Prefix sum",Learn&ShutUp,"Given an n x n binary matrix, count how many submatrices (i1..i2, j1..j2) have an even sum of elements. Do this for up to t ≤ 15 test cases, with n ≤ 200.","
1. Build 2D prefix sum matrix m so any rectangle sum can be computed in O(1):
sum(y1..y2, x1..x2) = m[y2][x2] - m[y1-1][x2] - m[y2][x1-1] + m[y1-1][x1-1].
2. Fix a pair of rows (y1, y2), and consider the 1D array over columns:
prefix[x] = sum(y1..y2, 1..x) (your sum(y1,y2,1,x2,m)).
3. Any submatrix spanning rows y1..y2 and columns l..r has sum:
prefix[r] - prefix[l-1].

This is even iff prefix[r] and prefix[l-1] have the same parity.
4. So for each row-pair, count how many prefix parities are even/odd:
    ◦ You count parity for x=1..n into nEven, nOdd.
    ◦ There is also the “empty prefix” at x=0 which is even, so total even-prefixes is nEven + 1.
    ◦ Number of even-sum subarrays = C(nEven+1, 2) + C(nOdd, 2)

which expands to exactly what you add:
C(nEven,2) + nEven + C(nOdd,2).
5. Sum that over all O(n^2) row pairs.
","#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int sum(int y1, int y2, int x1, int x2, const vector<vector<int>>& m){
return m[y2][x2] - m[y1-1][x2] - m[y2][x1-1] + m[y1-1][x1-1];
}

void solve(){
int n; cin >> n;
vector<vector<int>> m(n+1,vector<int> (n+1,0));
for(int i = 1; i <= n; ++i){
for(int j = 1; j <= n; ++j){
int num; cin >> num;
m[i][j] = m[i-1][j] + m[i][j-1] - m[i-1][j-1] + num;
}
}
long long res = 0;
for(int y1 = 1; y1 <= n; ++y1){
for(int y2 = y1; y2 <= n; ++y2){
long long nEven = 0, nOdd = 0;
for(int x2 = 1; x2 <= n; ++x2){
if(sum(y1,y2,1,x2, m)%2) ++nOdd;
else ++nEven;
}
res += (nEven*(nEven-1))/2 + nEven + nOdd*(nOdd-1)/2;
}
}
cout << res;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Default,https://expert.ethz.ch/solve/fWbSHmehcgKXovbpK
Even Pairs,# of subarrays with even sum,Week 01,"Combinatorics, Prefix sum",Completed,"We have a vector of integers, we want to count the number of subarrays with even sum.

So xi+…+xj = Even Integer.","Brute force: computer the sum of each subarray → O(n^2)

Prefix sum: precompute the cumulative sum → S_i = x0+..+xi;
Notice that:
- Sj - S_i-1 = xi+..+xj
When it’s even ?
1. both Sj, S_i-1 are even
2. both are odd

so count all the combination of pairs of indexes were Si,Sj are both even or odd.

Once we find all indexes pairs, and odd, then we what to know the unique pairs → binomial coefficient: (N 2) = n*(n-1)/2.

sum the pairs of even and odd, starting with #even = 1 because it’s the empty interval → needed to count as subarray also single even number.","#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

void solve(){
int n; cin >> n;
vector<int> v(n);
for(int i = 0; i < n; ++i){
cin >> v[i];
if(i != 0) v[i] += v[i-1];
}
int nEven = 1, nOdd = 0;
for(int i = 0; i < n; ++i){
if(v[i]%2) ++nOdd;
else ++nEven;
}
cout << nEven*(nEven-1)/2 + nOdd*(nOdd-1)/2;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Default,https://expert.ethz.ch/solve/icuMesQwsrB762q6Q
Dominoes,Dominoes,Week 01,Greedy,Completed,"We have a vector of positive integers representing the height of dominoes, AT EACH INDEX WE HAVA A PIECE, then we need to see how far dominoes will continue falling starting from left.","think of each dominoes as a gas station. We start with fuel equal to the height of the first, then for each step we decrement the fuel. At each index if the fuel is ≤ 0 then we need to stop. Otherwise, we get the fuel as the max(current, gasStation).","#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

void solve(){
int n; cin >> n;
vector<int> v(n);
for(int i = 0; i < n; ++i){
cin >> v[i];
}
int hrem = v[0];
for(int i = 1; i < n; ++i){
--hrem;
if(hrem <= 0) {
cout << i;
return;
} else {
hrem = max(v[i],hrem);
}
}
cout << n;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Default,https://expert.ethz.ch/solve/BHCoFa7QqgnvfWJQN
Search Snippets,Shortest interval covering one occurrence from each of k sorted lists (minimum search snippet),Week 02,"Greedy, min-heap",Completed,"Given a query of n distinct words, you receive for each word a sorted list of positions where it occurs in a document. All positions are distinct across all lists. You must output the minimum snippet length (b − a + 1) of a contiguous interval [a, b] that contains at least one occurrence of every word. 
","Maintain one “current” chosen position per word and keep the current window spanning them.
1. Initialize by taking the first position from each word’s list (treat each list as a queue/iterator).
2. Put these n current positions into a min-heap keyed by position; also track current_max across the n chosen positions.
3. The current snippet is minpos,currentmaxmin_pos, current_maxminpos,currentmax; update the best length.
4. To potentially shrink/improve, advance the word that currently has the minimum position: pop heap min (pos, word_id), fetch the next position from that word’s list, push it, and update current_max if needed.
5. Stop when the popped word has no next position (you can’t keep all n words represented anymore).

This is the standard “smallest range covering k lists” greedy: only moving the current minimum can reduce the window. ","#include <iostream>
#include <vector>
#include <algorithm>
#include <queue>
using namespace std;

void solve(){
int n; cin >> n;
vector<int> wcount(n);
for(int i = 0; i < n; ++i){
cin >> wcount[i];
}
vector<queue<int>> wpos(n);
for(int i = 0; i < n; ++i){
for(int j = 0; j < wcount[i]; ++j){
int pi; cin >> pi;
wpos[i].push(pi);
}
}
priority_queue<pair<int,int>> pq;
int curr_max = 0;
for(int i = 0; i < n; ++i){
int curr_pos = wpos[i].front(); wpos[i].pop();
pq.push({-curr_pos, i});
curr_max = max(curr_max, curr_pos);
}

int curr_min = -pq.top().first;
int res = curr_max - curr_min + 1;
while((int)pq.size() == n){
int curr_word = pq.top().second; pq.pop();
if(wpos[curr_word].empty()) break;
int curr_pos = wpos[curr_word].front(); wpos[curr_word].pop();
pq.push({-curr_pos, curr_word});
curr_max = max(curr_max, curr_pos);
int curr_min = -pq.top().first;
res = min(res, curr_max - curr_min + 1);
}

cout << res;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
if(cin >> t) cout << ""eoror\n"";
}",,,,Default,https://expert.ethz.ch/solve/Rrd9wMDGxHn5mvBkr
Severus Snape,min number of potions,Week 02,"0/1 Knapsack, Dynamic Programming, Greedy, Prefix sum",Completed,"You need to pick a minimum-size subset of potions to reach at least: Power P, Happiness H, Wit W. Start from 0,0,0.
• Type A potion i gives +pi power and +hi happiness, but decreases wit by exactly a.
• Type B potion j gives +wj wit, but decreases power by exactly b, happiness unchanged.

Negative power/wit during the process is allowed; only final thresholds matter. Output the minimum number of potions, or -1.","Key observation: once you fix how many A potions you take (say count_A), the wit requirement becomes a fixed target for B, and the power requirement becomes a fixed “remaining power” after paying B’s penalty.
1. Preprocess type B (greedy works):
• Sort wj descending.
• Build prefix sums prefB[t] = sum of top t wj.

Then for any required wit target W_needed, the minimum number of B potions is the smallest t with prefB[t] ≥ W_needed (found by lower_bound).
1. Iterate count_A from 0..n. For each count_A:
• Wit after A decreases by count_A * a, so B must cover:

W_needed = W + count_A * a.
• Use prefix sums + binary search to get count_B needed (or skip if impossible).
1. For this count_A, compute the maximum power you can get from choosing exactly count_A A-potions while reaching happiness ≥ H:
• DP state: “with exactly count_A picks and happiness threshold, what’s the max power?”

Because happiness is small (≤1024), you can DP over happiness, but power is big, so you maximize power.
1. Check feasibility:
• Power available after B penalty is max_power_A − count_B * b.

If that is ≥ P, update answer with count_A + count_B.
Return the minimum over all count_A, else -1. ","#include <iostream>
#include <vector>
#include <algorithm>
#include <unordered_map>
using namespace std;

void solve(){
int n, m; cin >> n >> m;
long long a, b; cin >> a >> b;
long long P, W; int H;
cin >> P >> H >> W;
vector<pair<long long,int>> typeA(n);
for(int i = 0; i < n; ++i){
cin >> typeA[i].first;
cin >> typeA[i].second;
}
vector<long long> typeB(m);
for(int i = 0; i < m; ++i){
cin >> typeB[i];
}
sort(typeB.begin(), typeB.end(), greater<>());
for(int i = 1; i < m; ++i){
typeB[i] += typeB[i-1];
}
vector<vector<long long>> dp(n+1, vector<long long> (H+1, -1));
dp[0][0] = 0;
for(int z = 1; z <= n; ++z){
long long p = typeA[z-1].first;
int h = typeA[z-1].second;
for(int i = z; i >= 1; --i){
for(int j = H; j >= 0; --j){
dp[i][j] = max(dp[i][j], dp[i-1][j]);
if(dp[i-1][j] == -1) continue;
int targetJ = min(H, j+h);
dp[i][targetJ] = max(dp[i][targetJ], dp[i-1][j]+p);
}
}
}
long long res = -1;
for(int i = 1; i <= n; ++i){
if(dp[i][H] == -1) continue;
long long Prem = P - dp[i][H];

long long Wneeded = W + ai;
// if to slow use a multiset instead of vector
auto it = lower_bound(typeB.begin(), typeB.end(), Wneeded);
if(it == typeB.end()) continue;
int drinked = (int)distance(typeB.begin(),it)+1;

Prem += bdrinked;
if(Prem <= 0){
res = i + drinked;
break;
}
}

cout << res;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,"3 min values with minimum number of stuff

USE LONG LONG",Default,https://expert.ethz.ch/solve/eyZXcn6TZZHWNGZSe
San Francisco,Longest-path-in-exact-steps with free resets from sinks (k-step max-score DP),Week 02,Dynamic Programming,Completed,"You have a directed graph with n nodes and m directed edges; traversing an edge (u→v) earns p points (p ≥ 0). You start at node 0. A node with outdegree 0 is a “sink”; from a sink you may teleport back to node 0 for free (no move, no score). You have at most k moves. Output the minimum number of moves needed to reach score ≥ x, or Impossible if you can’t reach x within k moves.","Solution description (iterative / bottom-up DP):

Define dp[i][v] = maximum score achievable after exactly i moves, ending at node v.
• Init: dp[0][0] = 0, others = -∞.
• For i = 0..k−1 and each node u with dp[i][u] valid: for each edge (u→v,p), update:
    ◦ If v is terminal, next state is node 0: dp[i+1][0] = max(dp[i+1][0], dp[i][u] + p)
    ◦ Else: dp[i+1][v] = max(dp[i+1][v], dp[i][u] + p)
• Answer: smallest i with dp[i][0] (or max over nodes, depending on formulation) ≥ x; else Impossible. 
this (1)
Solution description (recursive / top-down with memoization, matching your code):

Define help(movesLeft, node) = maximum additional score achievable starting from “node” with exactly movesLeft moves remaining.
• Base: if movesLeft == 0 return 0.
• Memo: memo[movesLeft][node] caches results to avoid recomputation.
• Transition: try all outgoing edges (node→v, p) and take the best:
    ◦ If v is terminal: candidate = p + help(movesLeft−1, 0)
    ◦ Else: candidate = p + help(movesLeft−1, v)
    ◦ currBest = max over candidates
• Then compute help(i,0) for i=1..k and return the first i where help(i,0) ≥ x, else Impossible.","#include <iostream>
#include <vector>
#include <algorithm>
#include <unordered_map>
using namespace std;

void solve(){
int n, m; cin >>n>>m;
long long x; cin >> x;
int k; cin >> k;
vector<unordered_map<int,int>> graph(n);
for(int i = 0; i < m; ++i){
int u, v, p; cin >> u >> v >> p;
if(graph[u].find(v) != graph[u].end()){
graph[u][v] = max(graph[u][v], p);
} else graph[u][v] = p;
}
vector<vector<long long>> dp(k+1, vector<long long> (n, -1));
dp[0][0] = 0;
for(int i = 1; i <= k; ++i){
for(int j = 0; j < n; ++j){
if(dp[i-1][j] == -1) continue;
for(auto &e: graph[j]){
int v = e.first;
int p = e.second;
dp[i][v] = max(dp[i][v], dp[i-1][j]+p);
if(dp[i][v] >= x){
cout << i;
return;
}
if(graph[v].size() == 0){
dp[i][0] = max(dp[i][0], dp[i][v]);
}
}
}
}
cout << ""Impossible"";
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,Print “Impossible”,Default,https://expert.ethz.ch/solve/NqPzfHTTW7wuruuiJ
Greyjoy,find max length of consecutive nodes with sum = k → in a tree with one node with w branches (root) and all the other node at most one children.,Week 02,"Prefix sum, Two Sum",Completed,"We have one root only branches.
GOAL: max length of consecutive nodes with sum of value of nods equal to K.
","first solve for each branche with Two Sum or sliding window, than do Two Sum from different branches, PAY ATTENTION TO CHANGE THE TARGET OF TWO SUM AND REMOVE THE ROOT TO AVOID DOUBLE COUNTING","#include <iostream>
#include <vector>
#include <algorithm>
#include <unordered_map>
using namespace std;

void solve(){
int n, k, w; cin >> n >> k >> w;
vector<int> c(n);
for(int i = 0; i < n; ++i){
cin >> c[i];
}
vector<vector<int>> islands(w);
for(int i = 0; i < w; ++i){
int l; cin >> l;
for(int j = 0; j < l; ++j){
int x; cin >> x;
islands[i].push_back(x);
}
}
vector<vector<long long>> costs(w);
for(int i = 0; i < w; ++i){
int l = (int)islands[i].size();
costs[i].push_back(c[islands[i][0]]);
for(int j = 1; j < l; ++j){
costs[i].push_back(costs[i][j-1]+c[islands[i][j]]);
}
}
int res = 0;
// solve for each waterway
for(int i = 0; i < w; ++i){
unordered_map<long long, int> map;
map[0] = -1;
for(int j = 0; j < (int)islands[i].size(); ++j){
long long goal = costs[i][j] - k;
if(map.find(goal) != map.end()){
res = max(res, j-map[goal]);
}
map[costs[i][j]] = j;
}
}
// look combinations
unordered_map<long long, int> map;
for(int i = 0; i < w; ++i){
for(int j = 0; j < (int)islands[i].size(); ++j){
long long goal = k - costs[i][j] + costs[i][0];
if(map.find(goal) != map.end()){
res = max(res, j+map[goal]+1);
}
}
for(int j = 0; j < (int)islands[i].size(); ++j){
if(map.find(costs[i][j]) != map.end()){
map[costs[i][j]] = max(j,map[costs[i][j]]);
} else map[costs[i][j]] = j;
}
}
cout << res;
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Not in 2024,https://expert.ethz.ch/solve/rsADmS6rf3h3o3ZXC
Burning Coins,"2-player, 2 possible move",Week 02,"2-player, Dynamic Programming",Completed,"Given a query of n distinct words, you receive for each word a sorted list of positions where it occurs in a document. All positions are distinct across all lists. You must output the minimum snippet length (b − a + 1) of a contiguous interval [a, b] that contains at least one occurrence of every word.","For each round i consider base case: just one element, just 2 element, then I need to consider all possible combinations of what could happen

2^n possibilities → TOO MUCH

so memoization :)","#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
typedef vector<vector<int>> vvi;
int me(int i, int j, const vector<int>& coins, vvi& memo);
int opp(int i, int j, const vector<int>& coins, vvi& memo);

int me(int i, int j, const vector<int>& coins, vvi& memo){
if(j < i) return 0;
if(i == j) return coins[i];
if(i+1 == j) return max(coins[i],coins[j]);
if(memo[i][j] != -1) return memo[i][j];
memo[i][j] =  max(coins[i]+opp(i+1,j,coins,memo),coins[j]+opp(i,j-1,coins,memo));
return memo[i][j];
}

int opp(int i, int j, const vector<int>& coins, vvi& memo){
if(j < i) return 0;
if(i == j) return 0;
if(i+1 == j) return min(coins[i],coins[j]);
return min(me(i+1,j,coins,memo),me(i,j-1,coins,memo));
}

void solve(){
int n; cin >> n;
vector<int> coins(n);
for(int i = 0; i < n; ++i){
cin >> coins[i];
}
vvi memo(n, vector<int> (n,-1));
cout << me(0, n-1, coins, memo);
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,,Default,https://expert.ethz.ch/solve/ppZM8mSxuQ3W2WWzZ
First steps with BGL,Dijkstra + MST,Week 03,"Dijkstra, Minimum Spanning Tree",Completed,Implement Dijkstra and MST,Implement Dijkstra and MST,"// STL includes
#include <iostream>
#include <vector>
using namespace std;

// BGL includes
#include <boost/graph/adjacency_list.hpp>
#include <boost/graph/kruskal_min_spanning_tree.hpp>
#include <boost/graph/dijkstra_shortest_paths.hpp>

typedef boost::adjacency_list<boost::vecS, boost::vecS, boost::undirectedS,
boost::no_property, boost::property<boost::edge_weight_t, int> >      weighted_graph;
typedef boost::property_map<weighted_graph, boost::edge_weight_t>::type weight_map;
typedef boost::graph_traits<weighted_graph>::edge_descriptor            edge_desc;
typedef boost::graph_traits<weighted_graph>::vertex_descriptor          vertex_desc;



int dijkstra_dist(const weighted_graph &G, int s, int t) {
int n = boost::num_vertices(G);
std::vector<int> dist_map(n);

boost::dijkstra_shortest_paths(G, s,
boost::distance_map(boost::make_iterator_property_map(
dist_map.begin(), boost::get(boost::vertex_index, G))));
int maks = 0;
for(int i = 0; i < n; ++i){
if(dist_map[i] > maks) maks = dist_map[i];
}
return maks;
}

void solve(){
int n, m; cin >> n >> m;
weighted_graph G(n);
weight_map weights = boost::get(boost::edge_weight, G);
edge_desc e;
for(int i = 0; i < m; ++i){
int u, v, c; cin >> u >> v >> c;
e = boost::add_edge(u, v, G).first; weights[e]=c;
}

std::vector<edge_desc> mst;    // vector to store MST edges (not a property map!)

boost::kruskal_minimum_spanning_tree(G, std::back_inserter(mst));
int res = 0;
for (std::vector<edge_desc>::iterator it = mst.begin(); it != mst.end(); ++it) {
res += weights[*it];
}

cout << res << "" "" << dijkstra_dist(G, 0, 1);
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
}",,,lol,Default,https://expert.ethz.ch/solve/3abMHQP4DFYRnis2H
